cve_id,hash,repo_url,fix_date,introduced_date
GHSA-g4w7-3qr8-5623,71b2f5187b0cbace3f8b6ff53432ff2ca0defcf0,https://github.com/rusqlite/rusqlite,2020-04-14 08:06:37-07:00,2019-01-26 00:52:50-08:00
GHSA-v4cp-h94r-m7xf,d2ce1ac753afc059e32798bac3383b81a6d04456,https://github.com/bytecodealliance/wasmtime,2021-09-14 14:23:42-07:00,2019-08-21 00:35:26-07:00
GHSA-7cqg-8449-rmfv,11ba23a9766a5079918cd9f515bc100bc8164b50,https://github.com/paritytech/libsecp256k1,2019-10-02 18:31:32-07:00,2017-11-11 11:41:52+08:00
GHSA-773q-5334-5gf9,19ade85,https://github.com/rust-blockchain/evm,2021-05-11 17:33:30+02:00,
GHSA-8mjx-h23h-w2pg,2a4d53809e3000f40085f2b229b6b1a33759881d,https://github.com/thepowersgang/stack_dst-rs,2021-02-23 21:30:38+08:00,2017-05-31 19:02:10+08:00
GHSA-m9m5-cg5h-r582,5ba218ac29df4786b002d7d12b47fa0c04a331f2,https://github.com/Absolucy/nanorand-rs,2020-12-07 07:33:01-05:00,2020-10-22 04:47:03-04:00
RUSTSEC-2019-0038,7fd282aef7787577c385aed88cb25d004b85f494,https://github.com/jnqnfe/pulse-binding-rust,2019-03-11 19:11:54+00:00,2018-06-16 18:32:17+01:00
GHSA-5xg3-j2j6-rcx4,f01846bd443aaf92fdd5ac20f461beac3f6ee3fd,https://github.com/dandavison/delta,2021-07-10 15:52:06+01:00,2019-06-30 18:28:20-04:00
RUSTSEC-2018-0004,8f28ec275e412dd3af4f3cda460605512faf332c,https://github.com/ruuda/claxon,2018-08-23 20:36:24+02:00,2016-01-28 21:11:26+01:00
GHSA-28ph-f7gx-fqj8,3c6b57fe1b2cc87e7ebecde43dd836ffb1c4ea5c,https://github.com/rusqlite/rusqlite,2020-04-15 10:33:04-07:00,2016-02-08 18:06:11+01:00
RUSTSEC-2020-0161,01940637dd8f3bfeeee3faf9639fa9ae52f19f4d,https://gitlab.com/KonradBorowski/array-macro,2020-05-07 18:33:20+02:00,2019-07-05 08:34:26+02:00
GHSA-w3g5-2848-2v8r,f7d120a3b724d06a7b623d0a4306acf8f78cb4f0,https://github.com/Xudong-Huang/generator-rs,2021-03-30 12:18:42+08:00,2016-08-07 15:29:30+08:00
GHSA-8928-2fgm-6x9x,e965d8298f421e9c89fe98b1300b8361e948c324,https://github.com/actix/actix-web,2021-08-12 20:18:09+01:00,2018-04-28 22:20:32-07:00
GHSA-hw4v-5x4h-c3xm,0b962f218f0cdd796dadfe26c3f09e68f7861b26,https://github.com/paritytech/frontier,2021-09-03 17:48:21+02:00,
GHSA-gwc9-348x-qwv2,666c2554ea0e1728c35aa41178cf235920db888a,https://github.com/bytecodealliance/wasmtime,2022-03-31 14:26:01-07:00,2020-07-14 10:17:27-07:00
GHSA-45w7-7g63-2m5w,2a4d538,https://github.com/thepowersgang/stack_dst-rs,2021-02-23 21:30:38+08:00,2017-05-31 19:02:10+08:00
GHSA-8r7q-r9mx-35rh,2327d3b774927fdf48903c0bdc1ca7ec93c7c8d0,https://github.com/rusqlite/rusqlite,2020-04-14 12:23:15-07:00,2015-08-01 17:21:41+02:00
GHSA-6hfq-h8hq-87mf,8f93123efef5c1361086688fe4f34c83c89cec02,https://github.com/hyperium/hyper,2021-02-05 14:10:02-08:00,
GHSA-67hm-27mx-9cg7,d44011a69e0674acfa9c59bd7ad7f0523eb61d42,https://github.com/denoland/deno,2021-10-29 17:05:55-04:00,2021-04-12 11:15:43+09:00
GHSA-mc22-5q92-8v85,1a2efcdbe68e5e7fd0a05836ac32d2cde78a0b2e,https://github.com/tremor-rs/tremor-runtime,2021-09-15 13:40:23+02:00,2020-02-11 11:11:08+01:00
GHSA-m5pq-gvj9-9vr8,ae70b41d4f46641dbc45c7a4f87954aea356283e,https://github.com/rust-lang/regex,2022-03-03 10:05:00-05:00,2020-05-28 11:18:29-04:00
GHSA-3cgf-9m6x-pwwr,45fd77ee43c38eea4d6f4e2e56c1667a55ec654f,https://github.com/rusqlite/rusqlite,2020-04-15 13:52:19-07:00,2018-03-24 08:03:21+01:00
GHSA-9qmm-4mfr-r3wj,e61e045f8c244de978401d186dcfd50838817297,https://github.com/solana-labs/rbpf,2022-04-29 15:08:56+02:00,2021-03-12 17:43:28+01:00
GHSA-h6xw-mghq-7523,b4e6dc76f4845ab03104187a42ac6d1bbc1e0021,https://github.com/waycrate/swhkd,2022-03-25 20:28:47+05:18,
GHSA-862g-9h5m-m3qv,2a36405339c87b16ed6c76e91ad5b76638fbdb0c,https://github.com/coreos/coreos-installer,2021-07-07 15:56:12-04:00,2019-11-01 12:10:28-04:00
GHSA-p4jg-pccf-h82c,e661a4940df78fbb7b52c622ac4ae6a3a7f7d8aa,https://github.com/waycrate/swhkd,2022-03-25 20:43:28+05:18,2022-02-08 16:11:30+05:18
